IFRS(연결),2022/12,2023/12,2024/12,2025/06
영업활동으로인한현금흐름,6251.0,20706.0,2422.0,-5848.0
당기순손익,-4532.0,5175.0,3947.0,1767.0
법인세비용차감전계속사업이익,,,,
현금유출이없는비용등가산계산에 참여한 계정 펼치기,27619.0,18237.0,22502.0,11984.0
(현금유입이없는수익등차감)계산에 참여한 계정 펼치기,3799.0,2763.0,9060.0,5523.0
영업활동으로인한자산부채변동(운전자본변동)계산에 참여한 계정 펼치기,-7467.0,6446.0,-8913.0,-10626.0
*영업에서창출된현금흐름,11822.0,27095.0,8475.0,-2398.0
기타영업활동으로인한현금흐름계산에 참여한 계정 펼치기,-5571.0,-6389.0,-6053.0,-3450.0
투자활동으로인한현금흐름,-711.0,-8166.0,-8214.0,-2568.0
투자활동으로인한현금유입액계산에 참여한 계정 펼치기,12698.0,2396.0,2930.0,912.0
(투자활동으로인한현금유출액)계산에 참여한 계정 펼치기,13409.0,10562.0,11144.0,3480.0
기타투자활동으로인한현금흐름계산에 참여한 계정 펼치기,,,,
재무활동으로인한현금흐름,-11325.0,-529.0,6084.0,3129.0
재무활동으로인한현금유입액계산에 참여한 계정 펼치기,45541.0,15078.0,28897.0,9416.0
(재무활동으로인한현금유출액)계산에 참여한 계정 펼치기,55982.0,14808.0,21949.0,5666.0
기타재무활동으로인한현금흐름계산에 참여한 계정 펼치기,-883.0,-800.0,-863.0,-621.0
영업투자재무활동기타현금흐름,,,,
연결범위변동으로인한현금의증가,,,,
환율변동효과,657.0,233.0,2489.0,-953.0
현금및현금성자산의증가,-5128.0,12243.0,2781.0,-6240.0
기초현금및현금성자산,19086.0,13958.0,26202.0,28983.0
기말현금및현금성자산,13958.0,26202.0,28983.0,22743.0
